Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,44,3374,2055,1289,278,787,75,532,1436,265,528
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform,44,3374,2055,1289,278,787,75,532,1436,265,528
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers,29,2537,1538,992,235,593,62,406,1134,175,348
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_ADC,2,81,42,14,2,21,2,18,52,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_CLOCK,4,105,57,20,2,22,2,26,54,24,48
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_GPIO,4,276,176,87,31,48,2,52,123,24,48
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_HANDLERS,4,164,95,40,6,37,2,32,74,25,48
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_INT,2,93,34,27,0,16,1,43,63,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_INTERRUPT,1,16,3,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_NVM,2,215,122,81,25,49,2,44,155,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_PWM,2,114,56,34,2,31,2,27,73,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_SYS,2,1275,866,640,163,313,45,96,351,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_TIMER,2,84,35,25,2,19,1,30,105,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_UART,2,82,38,24,2,24,1,20,44,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service,14,822,512,295,43,190,13,120,290,84,168
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_ALIND,2,45,19,8,2,14,1,12,26,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_CNTRL,2,174,111,70,17,51,1,12,26,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_CONSOLE,2,61,19,8,2,17,1,25,51,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_NVM,1,16,3,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_STATUS,2,272,202,153,20,55,6,15,48,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_SYS,2,57,19,10,0,11,1,27,71,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_TIMER,2,49,18,8,2,16,1,15,35,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\cl_stubs,1,15,5,2,0,4,0,6,12,6,12
