Word,Count
=,906
*,650
path,336
Cl_dlsisretcode,289
time,264
,250
and,245
state,241
for,234
\printf("\RTO\n"\);\,229
flow,226
system,226
info,219
check,213
Cl_rinseretcode,196
out,188
the,171
console,150
change,142
-,136
cl_wait(10);,134
rinse,133
update,130
14,127
12,125
10,124
13,124
11,124
15,123
16,122
17,122
configuration,117
set,114
new,113
Filling,112
(Cl_ReturnCodes)sv_setflowpath(Default,112
appropirate,112
over,112
?);//set,112
process,111
get,111
Author:,105
Created:,105
cl_rinse_processtimeoutevets(cl_dlsis_event);,102
1,102
user,100
2,94
data,93
0,87
command,87
cl_stby_retval,85
4,84
3,84
PM,84
18,83
sub,83
to,83
5,82
19,82
8,82
20,81
6,81
9,81
7,81
21,81
23,80
transition,80
22,80
count,73
\(uint8_t)sv_nvmgetdata(NV_RINSE_NVM_RINSE_STATUS,\,72
&data);,69
Reset,69
OPENFILL,69
\Cl_SendDatatoconsole(command,&data,1);\,59
1/22/2014,55
(uint8_t)COMMAND_RESULT_SUCCESS;,53
#define,49
is,46
0x0D,44
0x0C,43
0x24,43
36,43
0x23,43
35,43
0x1D,42
28,42
27,42
29,42
33,42
0x17,42
0x19,42
0x1C,42
0x22,42
0E,42
0x21,42
26,42
0F,42
0D,42
0x16,42
34,42
0A,42
0x1A,42
0C,42
25,42
0x18,42
32,42
0x1B,42
0B,42
30,41
0x0B,41
64,41
0x40,41
0x1E,41
0x15,41
42,41
39,41
0x25,41
0x30,41
0x28,41
0x27,41
24,41
0x0A,41
0x3F,41
0x1F,41
37,41
0x20,41
63,41
40,41
43,41
31,41
44,40
52,40
0x29,40
0x32,40
61,40
0x2F,40
59,40
0x39,40
50,40
0x31,40
0x3E,40
0x11,40
0x34,40
0x2B,40
0x3C,40
0x2E,40
0x13,40
0x0F,40
0x36,40
56,40
47,40
0x14,40
41,40
0x3D,40
57,40
0x33,40
0x3B,40
45,40
0x2D,40
60,40
53,40
0x38,40
CL_TESTHARNESS_H_,40
0x35,40
cl_testharness.h,40
3:24:52,40
54,40
55,40
0x3A,40
0x2C,40
48,40
0x26,40
0x012,40
58,40
62,40
x0E,40
0x10,40
46,40
51,40
0x2A,40
49,40
38,40
0x37,40
if,37
Cl_MacEvent1.Cl_MacEventData[Cl_MacEvent1.Cl_MacNewEventcount]=LEVELSWITCH1;,36
\printf("\V2V2\n"\);\,36
Cl_alarms_alarms[LEVELSWITCH1].cl_detected_count++;,36
(Cl_ReturnCodes)sv_setflowpath(SV_FLOW_PATH_V2OPEN);,36
CON_TX_COMMAND_SYSINFO;,35
a,33
of,33
Configure,32
),30
12/27/2013,30
on,28
\printf("\\n"\);\,26
be,26
OF,24
buffer,24
>,23
test,22
rateval,22
completed,22
);,21
AM,21
OR,21
\printf("\BO1_V4\n"\);\,20
Cl_dprepretcode,20
\,\,20
DAC,20
in,20
inform,20
\Cl_SendDatatoconsole(command,&data,0);\,20
about,20
interrupt,19
above,19
(Cl_ReturnCodes)sv_setflowpath(SV_FLOW_PATH_BO1_V13V14);,19
\printf("\J\n"\);\,19
when,19
\printf("\BO2_V13V14\n"\);\,19
(uint8_t)cl_rinsealarmid;,19
\printf("\BO1_V13V14\n"\);\,19
Cl_Alarm_GetLastAlarm(&cl_rinsealarmid);,19
\printf("\K\n"\);\,19
it,19
(Cl_ReturnCodes)sv_setflowpath(SV_FLOW_PATH_BO2_V4);,19
(Cl_ReturnCodes)sv_setflowpath(SV_FLOW_PATH_BO2_V13V14);,19
\printf("\BO2_V4\n"\);\,19
CON_TX_COMMAND_ALARM;,19
(Cl_ReturnCodes)sv_setflowpath(SV_FLOW_PATH_BO1_V4);,18
sv_setflowpath(SV_FLOW_PATH_OPENFILL);,18
==,18
status,18
if(Cl_RinseTotalTime,17
cl_dlsis_controller.c,17
CON_TX_COMMAND_DLSIS_STARTED;,17
CL_DLSIS_STATE_IDLE;,17
12:26:22,17
CL_DLSIS_STATE_OPENFILL,17
(Cl_ReturnCodes)sv_cntrl_setflowpath(SV_FLOW_PATH_V2OPEN);,17
Cl_Rinse_States,17
cl_dlsis_state,17
Cl_MacState,16
with,16
timer,16
stop,16
may,15
added,15
by,15
28.05.2014,14
this,14
Cl_alarms_alarms[HOLDER1STATUS].cl_detected_count++;,13
Cl_MacRetval,13
10:02:29,13
not,13
read,13
logic,13
level,13
water,13
zero,13
goes,13
Cl_alarms_alarms[HOLDER2STATUS].cl_detected_count++;,13
there,13
cl_alarmdetector.c,13
true;,12
Cl_MacEvent1.Cl_MacEventData[Cl_MacEvent1.Cl_MacNewEventcount]=HOLDER2STATUS;,12
AND,12
MAC_POST_RINSE_STANDBY;,12
alarms,12
{,12
Cl_MacEvent1.Cl_MacEventData[Cl_MacEvent1.Cl_MacNewEventcount]=HOLDER1STATUS;,12
ANY,12
Cl_Rinse_UpdateTimeInfo();,12
;,12
//,12
setting,11
following,11
from,11
start,11
TestMsg.data[1];,11
(uint16_t)TestMsg.data[1];,11
},11
\brief,11
or,11
compare,11
/,10
active,10
before,10
cl_wait(100);,9
conditions,9
we,9
use,9
THE,9
IN,9
can,9
ready,9
testing,9
Atmel,9
CONFIG_SYSCLK_SOURCE,9
any,9
an,9
&dataarray[1]);,9
moved,9
System,9
0;,8
are,8
populated,8
USART,8
pin,8
Reads,8
This,8
as,8
used,8
have,8
Pressuredatainmillibars,8
Cl_MacEvent,8
A,8
CONFIG_SYSCLK_PRES,7
prepration,7
required,7
dialysis,7
generate,7
false;,7
cl_rinse_processtimeoutevets(cl_rinseevent);,7
The,7
hardware,7
UART,7
only,7
will,7
going,7
=====,7
LED,6
\Cl_Alarm_GetAlarmStatus(DGPCURRENTSTATUS,&alarmstatus2);\,6
\TO,\,6
LIMITED,6
board,6
\uart_write(CONF_UART,\,6
disclaimer,6
NOT,6
sanjeer,6
list,6
V1,6
BUT,6
application,6
\LIABILITY,\,6
THIS,6
ATMEL,6
FOR,6
&&,6
-#,6
Cl_AlarmActivateAlarms(LEVELSWITCH2,6
provided,6
\printf("\=\,6
data1,6
source,6
binary,6
must,6
software,6
IMPLIED,6
Cl_RinseFlowOn();,6
without,6
sequences,6
1000;,6
wait,6
clock,6
blinking,6
copyright,6
false,6
Redistributions,6
USB,6
\notice,\,6
now,6
1;,6
\%d\n"\,Cl_Console_buffer.Console_databuffer_read_idx);\,5
ON,5
cl_thretval,5
RC,5
code,5
one,5
do,5
console_databyte);,5
sv_cntrl_activatepump(sv_pumpid);,5
(uint8_t),5
testbool,5
\%d\n"\,testbool);\,5
tick,5
after,5
ram,5
updates,5
\printf("\console\,5
\printf("\w=\,5
but,5
alarm,5
\%d\n"\,Cl_Console_buffer.Console_databuffer_write_idx);\,5
if(,5
Cl_AlarmActivateAlarms(LEVELSWITCHON,5
\printf("\r=\,5
ALSO,5
\calllback"\);\,5
was,5
should,5
interface,5
\printf("\%c"\,Cl_Console_buffer.Console_databuffer[Cl_Console_buffer.Console_databuffer_write_idx]\,5
0),5
sec,5
--,5
sanjeer_k,5
12/30/2013,5
Cl_MacNewEvent,5
pins,5
button,5
\printf("\%c"\,console_databyte);\,5
rinsing,4
LED1,4
Options,4
((char)console_databyte,4
send,4
then,4
Write,4
frequency,4
empty,4
fillseccounter++;,4
if(((char)prev_databyte,4
size,4
\printf("\k"\);\,4
Cl_ConsoleTxMsg[2]=,4
sv_speed);,4
********************,4
Interrupt,4
handlers,4
other,4
packet,4
currently,4
tbr,4
Cl_Rinse_Controller(Cl_MacEvent);,4
true,4
full,4
EVT_TICK_SEC;,4
cl_gfillinprogress,4
||,4
LED0,4
170;,4
edge,4
ms,4
\section,4
g_ul_ms_ticks,4
TURN,4
if(alarmstatus1,4
Cl_ReturnCodes,4
INLET,4
WATER,4
%s,4
TC,4
Cl_Dprep_100msTMP();,4
alarmstatus2),4
respective,4
3/24/2014,4
\sv_cntrl_setpumpspeed(sv_pumpid,\,4
ARISING,3
if(Pressuredatainmillibars>,3
documentation,3
OUT,3
action,3
HOWEVER,3
OTHERWISE),3
and/or,3
thread,3
Toggle,3
\asf_license_start,3
Activate,3
\file,3
Cl_SendDatatoconsole();,3
