File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,605,473,307,65,113,3,19,70,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,461,381,250,52,64,1,16,32,6,12
