Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,110,36379,26763,14674,4176,5923,3885,3693,19806,799,2354
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\,110,36379,26763,14674,4176,5923,3885,3693,19806,799,2354
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms,14,6208,5096,3320,689,895,16,217,468,84,168
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms,12,5532,4572,3000,624,768,12,192,384,72,144
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms,11,5071,4191,2750,572,704,11,176,352,66,132
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms,10,4610,3810,2500,520,640,10,160,320,60,120
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms,9,4149,3429,2250,468,576,9,144,288,54,108
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms,8,3688,3048,2000,416,512,8,128,256,48,96
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms,7,3227,2667,1750,364,448,7,112,224,42,84
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms,6,2766,2286,1500,312,384,6,96,192,36,72
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms,5,2305,1905,1250,260,320,5,80,160,30,60
