File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),437,360,235,53,64,2,13,56,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",22,15,11,2,7,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,Cl_AlarmResetAlarm(Cl_AlarmIdType cl_alarm_id ),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlertStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_TriggerDummyAlarm(Cl_AlarmIdType cl_alarm_id , bool cl_status)",24,20,14,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_alarmsscanforAlarms(void),362,318,212,45,34,1,10,20,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_UpdateMacEventTable(void),9,6,4,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_AlarmActivateAlarms(Cl_AlarmIdType cl_alarm_id , bool status )",17,11,7,2,6,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_AlarmMuteAlarms(Cl_AlarmIdType cl_alarm_id),8,4,4,1,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,Cl_Alarm_GetLastAlarm(Cl_AlarmIdType* cl_alarm_id),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarms\cl_alarmdetector.c,"Cl_Alarm_GetAlarmStatus(Cl_AlarmIdType cl_alarm_id , bool* cl_status)",15,11,7,2,4,0,0,0,
