File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_apprequesthandndler.c,Cl_mac_apprequesthandler(MAC_EVENTS cl_macirq),13,9,7,2,2,0,2,6,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,main(void),506,413,208,102,82,7,11,227,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_MacInit(),26,19,19,1,7,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_App_init(void),12,9,9,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_MacConfigure(void),6,1,1,1,5,1,0,3,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_MacCheck_TimerExpired(void),1,1,1,0,0,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_Mac_GetSystem_Status_Query(void),4,4,4,1,0,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_MacCall_Newappreq_Query(void),5,4,4,1,1,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_MacCheckforConsoleMessage(void),23,16,10,4,7,2,0,28,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_MacCreate_Macevent(void),55,40,24,7,15,1,0,2,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_Mac_ClearEvents(void),4,2,2,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_Mac_CheckforAlarms(void),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_Mac_CheckforErrorCorrections(),20,12,7,6,1,0,7,12,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,Cl_Enter_CalibrateMode(void),13,6,4,1,6,1,1,19,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,main(void),494,394,222,113,68,7,32,274,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_MacInit(),26,19,19,1,7,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_App_init(void),12,9,9,1,3,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_MacConfigure(void),1,1,1,0,0,0,0,3,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_MacCheck_TimerExpired(void),1,1,1,0,0,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_Mac_GetSystem_Status_Query(void),4,4,4,1,0,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_MacCall_Newappreq_Query(void),5,4,4,1,1,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_MacCheckforConsoleMessage(void),23,16,10,4,7,2,0,28,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_MacCreate_Macevent(void),50,40,24,7,10,1,0,2,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_Mac_ClearEvents(void),4,2,2,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_Mac_CheckforAlarms(void),6,4,4,1,2,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,Cl_Mac_CheckforErrorCorrections(),20,12,7,6,1,0,7,12,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_sys_status.c,Cl_SysStat_System_Status_Query(void),38,31,29,1,6,0,1,3,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_sys_status.c,"Cl_SysStat_GetSensor_Status_Query(Cl_AlarmIdType dataID, uint16_t* pdata)",99,89,66,23,10,0,0,0,
